order_item_id,order_id,product_id,quantity,unit_price_at_purchase
1,1,1453,4,1778.93
2,2,455,1,3347.34
3,3,52,2,4478.08
4,3,70,5,1538.69
5,4,1205,4,4795.08
6,4,910,4,1437.33
7,4,108,3,2841.42
8,5,1816,1,1970.73
9,5,945,4,1629.83
10,5,1243,1,3945.21
11,6,1920,2,2497.61
12,6,1274,5,3944.58
13,7,409,2,284.25
14,7,1694,5,3306.81
15,8,843,3,928.3
16,9,1743,2,982.62
17,10,514,5,755.11
18,11,1440,4,3589.68
19,11,871,3,4608.67
20,11,1554,1,4999.52
21,12,854,5,4215.33
22,12,367,2,1480.88
23,13,546,1,1741.25
24,13,84,4,182.72
25,13,379,4,323.37
26,14,973,1,1490.81
27,14,1858,2,4696.05
28,15,773,4,1551.94
29,15,91,2,1342.66
30,15,1571,1,3828.97
31,16,1740,2,2482.33
32,16,504,4,668.44
33,17,1291,5,1661.86
34,17,64,4,2594.71
35,17,267,3,1827.23
36,17,683,3,359.02
37,18,217,4,657.68
38,19,402,5,4892.72
39,19,207,1,4395.79
40,20,394,4,2677.79
41,20,855,2,3214.76
42,21,504,4,782.8
43,22,1938,2,2361.46
44,23,1959,3,2299.44
45,23,1775,5,3513.61
46,23,282,1,614.76
47,24,1343,5,2668.19
48,25,648,5,469.49
49,25,1379,4,1823.96
50,25,1011,5,602.7
51,25,662,5,1537.86
52,26,1433,4,2261.09
53,26,1857,4,4155.77
54,27,1514,3,2850.95
55,28,963,3,540.6
56,29,908,2,1376.15
57,30,557,3,2749.62
58,30,346,1,1561.75
59,31,1305,3,1337.98
60,31,1612,5,1478.67
61,31,935,5,1424.92
62,32,1338,5,2432.88
63,33,923,5,1277.43
64,33,1253,2,4822.44
65,33,677,5,45.02
66,34,1221,5,202.51
67,35,470,1,2867.01
68,36,1965,3,4683.28
69,36,770,1,1755.13
70,37,649,1,112.17
71,37,295,3,2319.63
72,38,1215,1,627.48
73,38,98,4,2836.46
74,38,1597,1,4997.07
75,39,1423,4,1547.58
76,39,1030,3,291.74
77,40,1191,4,2506.31
78,40,866,4,990.57
79,40,1393,3,484.39
80,41,1572,3,1768.61
81,42,523,1,3040.6
82,42,301,2,1012.97
83,43,25,5,3831.09
84,43,1486,5,1930.78
85,43,202,3,3151.14
86,44,7,2,4321.76
87,44,969,4,1814.87
88,44,1490,1,4644.16
89,45,945,1,1759.69
90,45,1765,3,573.5
91,45,367,2,1480.88
92,45,292,2,941.43
93,46,795,4,2034.25
94,47,1647,3,4578.02
95,47,291,5,4479.15
96,47,285,5,1600.27
97,48,1820,1,1295.41
98,48,638,2,2493.09
99,48,1142,2,1770.45
100,48,922,1,756.87
101,49,783,4,41.05
102,50,1076,2,4238.63
103,50,820,4,1886.24
104,50,1698,1,2763.38
105,50,1623,5,3906.13
106,51,198,5,1266.5
107,52,713,2,3679.35
108,52,1242,2,1507.11
109,52,611,3,3903.33
110,52,945,2,1445.35
111,53,1040,4,852.31
112,53,1766,3,1987.17
113,54,1927,4,3376.17
114,55,1785,2,1442.72
115,55,257,2,454.34
116,56,1897,5,2349.32
117,56,1179,5,1931.5
118,57,1223,3,2211.24
119,57,915,2,4241.85
120,58,1585,4,4809.42
121,58,298,5,3203.67
122,58,154,4,696.76
123,59,868,1,991.31
124,59,321,5,3268.68
125,59,272,3,3498.52
126,60,735,3,1776.43
127,61,1074,3,953.07
128,61,1761,2,4165.49
129,61,56,2,3237.06
130,61,874,2,4765.46
131,62,1919,4,2728.56
132,62,1772,1,3250.02
133,62,254,2,3414.28
134,62,104,5,1673.81
135,63,170,2,2609.26
136,63,1317,4,4464.53
137,63,1743,1,982.62
138,64,515,2,4246.45
139,65,867,3,390.65
140,65,394,2,2677.79
141,65,548,4,790.99
142,66,617,4,145.49
143,66,562,4,3206.23
144,66,824,1,1986.05
145,66,1060,2,1010.5
146,67,1638,5,1905.98
147,67,558,3,107.76
148,67,385,3,4309.91
149,68,1050,5,105.34
150,69,665,5,946.77
151,70,1313,3,4023.94
152,70,901,4,3707.34
153,71,746,3,4857.48
154,72,163,4,2974.27
155,73,463,5,2370.45
156,74,366,1,2367.54
157,74,492,3,977.04
158,74,577,4,1044.1
159,75,1505,2,4216.31
160,75,199,2,252.39
161,75,1929,3,3451.12
162,76,1023,3,3771.35
163,76,1116,5,4568.6
164,76,193,1,4643.63
165,76,865,5,2455.86
166,77,978,4,1208.96
167,78,494,2,2239.74
168,79,435,2,2114.92
169,79,152,3,2167.92
170,79,1582,5,1307.84
171,80,80,1,3663.41
172,80,748,2,1402.9
173,80,1978,2,1245.27
174,80,827,2,4053.68
175,81,1813,3,1347.23
176,81,149,3,644.46
177,82,1648,4,4000.16
178,82,634,1,2968.92
179,83,203,1,3599.53
180,83,1880,3,1959.52
181,84,234,1,938.67
182,84,46,1,1485.51
183,85,1100,4,3708.22
184,85,1789,4,2332.04
185,86,1875,4,889.15
186,86,1385,2,3672.34
187,86,1791,4,952.04
188,86,1578,3,2695.81
189,87,1884,2,347.97
190,87,1979,4,1181.46
191,87,1971,5,3384.04
192,87,1308,2,3851.02
193,88,439,2,4256.54
194,89,547,1,2542.66
195,89,1447,4,4186.93
196,89,721,5,93.68
197,89,1676,1,274.49
198,90,342,4,4327.25
199,90,1024,4,2013.75
200,91,696,4,3200.45
201,92,449,2,530.54
202,92,1171,4,3620.47
203,93,373,4,4531.36
204,94,1123,3,577.55
205,94,364,4,4850.74
206,94,643,3,3185.4
207,94,1983,1,4107.76
208,95,635,2,4443.09
209,95,1985,1,4565.54
210,95,642,2,3835.02
211,95,1418,5,203.29
212,96,1964,4,2826.23
213,96,522,1,3199.65
214,96,1088,2,1321.01
215,96,1399,4,2205.03
216,97,1907,2,368.84
217,98,415,4,273.97
218,99,1753,3,499.62
219,100,573,3,1933.49
220,100,366,4,2367.54
221,100,1948,5,346.24
222,100,1236,5,4026.43
223,101,1346,2,1135.36
224,101,753,3,2931.64
225,102,1945,3,4845.83
226,102,289,5,2450.56
227,103,594,3,2929.29
228,104,1144,5,4456.58
229,104,1365,1,782.66
230,104,531,4,1161.66
231,104,1554,3,4999.52
232,105,498,3,539.19
